angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.03,"[577, 351, 169, 222]",0.0,0.18,0.29,0.35,0.1,0.07
0.01,"[573, 349, 167, 221]",0.0,0.01,0.01,0.91,0.05,0.0
0.01,"[575, 349, 168, 222]",0.0,0.01,0.0,0.91,0.06,0.0
0.01,"[573, 348, 169, 222]",0.0,0.02,0.04,0.87,0.06,0.0
0.0,"[572, 352, 167, 218]",0.0,0.02,0.0,0.9,0.06,0.0
0.0,"[571, 352, 168, 218]",0.0,0.04,0.01,0.91,0.03,0.01
0.01,"[571, 353, 167, 217]",0.0,0.04,0.0,0.89,0.05,0.01
0.0,"[571, 348, 169, 220]",0.0,0.03,0.01,0.83,0.1,0.02
0.03,"[571, 352, 168, 217]",0.0,0.03,0.02,0.81,0.1,0.0
0.02,"[572, 353, 166, 217]",0.0,0.04,0.01,0.83,0.09,0.0
0.01,"[572, 355, 166, 212]",0.0,0.02,0.04,0.78,0.14,0.0
0.01,"[572, 356, 165, 211]",0.0,0.04,0.1,0.74,0.1,0.01
0.01,"[572, 355, 164, 212]",0.0,0.03,0.05,0.8,0.11,0.01
0.01,"[572, 355, 166, 212]",0.0,0.02,0.04,0.79,0.13,0.01
0.01,"[571, 355, 167, 213]",0.0,0.02,0.02,0.89,0.06,0.0
0.01,"[573, 356, 165, 213]",0.0,0.02,0.0,0.88,0.09,0.0
0.0,"[570, 355, 168, 214]",0.0,0.02,0.0,0.89,0.07,0.0
0.04,"[570, 352, 168, 216]",0.0,0.05,0.06,0.66,0.17,0.02
0.01,"[569, 354, 169, 215]",0.0,0.02,0.01,0.91,0.05,0.0
0.01,"[569, 347, 170, 222]",0.0,0.06,0.03,0.74,0.13,0.03
0.02,"[572, 350, 168, 219]",0.0,0.08,0.09,0.7,0.11,0.01
0.01,"[572, 347, 169, 223]",0.0,0.1,0.05,0.73,0.09,0.02
0.0,"[574, 352, 165, 216]",0.0,0.04,0.57,0.3,0.03,0.05
0.0,"[572, 351, 169, 217]",0.0,0.03,0.88,0.02,0.01,0.06
0.0,"[572, 350, 172, 220]",0.0,0.01,0.96,0.0,0.0,0.02
0.0,"[566, 355, 170, 219]",0.0,0.0,0.99,0.0,0.0,0.0
0.01,"[567, 355, 170, 220]",0.0,0.01,0.98,0.0,0.0,0.0
0.0,"[569, 353, 172, 219]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[571, 352, 170, 217]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[567, 351, 173, 219]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[568, 351, 173, 218]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[569, 351, 174, 222]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[567, 349, 174, 220]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[567, 350, 173, 218]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[568, 350, 172, 218]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[567, 350, 174, 221]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[568, 350, 174, 221]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[569, 348, 174, 220]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[570, 350, 173, 220]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[570, 348, 175, 222]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[570, 348, 175, 221]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[571, 347, 174, 222]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[570, 348, 174, 222]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[568, 350, 172, 217]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[570, 351, 171, 221]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[569, 349, 173, 221]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[567, 350, 174, 220]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[568, 350, 174, 221]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[567, 349, 174, 221]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[568, 349, 172, 220]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[568, 350, 172, 218]",0.0,0.0,0.99,0.0,0.0,0.0
0.0,"[568, 350, 172, 220]",0.0,0.0,1.0,0.0,0.0,0.0
0.0,"[565, 347, 175, 221]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[566, 347, 174, 221]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[568, 350, 172, 217]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[568, 349, 172, 219]",0.0,0.0,0.99,0.0,0.0,0.01
0.0,"[568, 347, 172, 224]",0.0,0.0,0.99,0.0,0.0,0.0
0.01,"[571, 349, 171, 227]",0.0,0.02,0.89,0.04,0.01,0.04
0.03,"[571, 349, 171, 224]",0.0,0.12,0.54,0.05,0.02,0.24
0.04,"[570, 350, 169, 222]",0.0,0.16,0.24,0.06,0.02,0.47
0.04,"[570, 353, 168, 223]",0.0,0.27,0.05,0.28,0.1,0.26
0.05,"[572, 353, 169, 224]",0.0,0.13,0.12,0.34,0.16,0.21
0.1,"[570, 351, 170, 225]",0.0,0.15,0.05,0.12,0.03,0.56
0.03,"[572, 351, 167, 221]",0.0,0.29,0.01,0.09,0.02,0.56
0.11,"[570, 352, 168, 222]",0.0,0.15,0.02,0.5,0.14,0.08
0.14,"[569, 353, 169, 218]",0.0,0.12,0.1,0.4,0.08,0.17
0.15,"[572, 356, 166, 213]",0.0,0.1,0.12,0.51,0.09,0.04
0.14,"[572, 348, 166, 220]",0.0,0.03,0.07,0.68,0.04,0.04
0.03,"[571, 351, 170, 220]",0.0,0.06,0.05,0.8,0.05,0.01
0.03,"[572, 352, 166, 216]",0.0,0.06,0.03,0.76,0.12,0.01
